"Feature";"Tot_prop";"Sum"
"../data/60/index_koivu_kp_1_60.img";"0.96";"2246938.2500"
"../data/60/index_koivu_kp_2_60.img";"0.91";"45718788.0000"
"../data/60/index_koivu_kp_3_60.img";"0.86";"70272176.0000"
"../data/60/index_koivu_kp_4_60.img";"0.88";"11981153.0000"
"../data/60/index_koivu_kp_5_60.img";"0.87";"1394911.1250"
"../data/60/index_kuusi_kp_1_60.img";"0.98";"2254184.0000"
"../data/60/index_kuusi_kp_2_60.img";"0.87";"152273904.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.83";"271131392.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.84";"27586424.0000"
"../data/60/index_kuusi_kp_5_60.img";"0.77";"3002231.7500"
"../data/60/index_mlp_kp_1_60.img";"0.96";"2614243.5000"
"../data/60/index_mlp_kp_2_60.img";"0.92";"25557640.0000"
"../data/60/index_mlp_kp_3_60.img";"0.88";"35092992.0000"
"../data/60/index_mlp_kp_4_60.img";"0.88";"6526383.5000"
"../data/60/index_mlp_kp_5_60.img";"0.87";"908271.5625"
"../data/60/index_manty_kp_1_60.img";"0.95";"1424097.7500"
"../data/60/index_manty_kp_2_60.img";"0.88";"68024400.0000"
"../data/60/index_manty_kp_3_60.img";"0.85";"243020720.0000"
"../data/60/index_manty_kp_4_60.img";"0.88";"110998928.0000"
"../data/60/index_manty_kp_5_60.img";"0.83";"10032889.0000"
"../data/60/index_koivu_kp_1_60.img";"0.79";"1854507.6250"
"../data/60/index_koivu_kp_2_60.img";"0.31";"15647063.0000"
"../data/60/index_koivu_kp_3_60.img";"0.26";"20898198.0000"
"../data/60/index_koivu_kp_4_60.img";"0.30";"4123298.0000"
"../data/60/index_koivu_kp_5_60.img";"0.56";"906878.6875"
"../data/60/index_kuusi_kp_1_60.img";"0.56";"1297730.0000"
"../data/60/index_kuusi_kp_2_60.img";"0.23";"39803600.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.24";"78246336.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.34";"11293461.0000"
"../data/60/index_kuusi_kp_5_60.img";"0.58";"2286211.0000"
"../data/60/index_mlp_kp_1_60.img";"0.83";"2242490.0000"
"../data/60/index_mlp_kp_2_60.img";"0.36";"9974166.0000"
"../data/60/index_mlp_kp_3_60.img";"0.23";"9038169.0000"
"../data/60/index_mlp_kp_4_60.img";"0.56";"4111846.7500"
"../data/60/index_mlp_kp_5_60.img";"0.65";"675274.1250"
"../data/60/index_manty_kp_1_60.img";"0.77";"1154481.3750"
"../data/60/index_manty_kp_2_60.img";"0.25";"18935094.0000"
"../data/60/index_manty_kp_3_60.img";"0.23";"66894584.0000"
"../data/60/index_manty_kp_4_60.img";"0.33";"42319604.0000"
"../data/60/index_manty_kp_5_60.img";"0.60";"7299324.5000"
"../data/60/index_koivu_kp_1_60.img";"0.76";"1775861.7500"
"../data/60/index_koivu_kp_2_60.img";"0.29";"14336661.0000"
"../data/60/index_koivu_kp_3_60.img";"0.22";"17577160.0000"
"../data/60/index_koivu_kp_4_60.img";"0.25";"3449099.0000"
"../data/60/index_koivu_kp_5_60.img";"0.56";"894753.2500"
"../data/60/index_kuusi_kp_1_60.img";"0.58";"1346247.0000"
"../data/60/index_kuusi_kp_2_60.img";"0.22";"38111636.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.18";"60062400.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.26";"8398046.0000"
"../data/60/index_kuusi_kp_5_60.img";"0.57";"2214872.5000"
"../data/60/index_mlp_kp_1_60.img";"0.79";"2144295.7500"
"../data/60/index_mlp_kp_2_60.img";"0.35";"9799753.0000"
"../data/60/index_mlp_kp_3_60.img";"0.18";"7373257.0000"
"../data/60/index_mlp_kp_4_60.img";"0.35";"2578182.2500"
"../data/60/index_mlp_kp_5_60.img";"0.57";"600277.0000"
"../data/60/index_manty_kp_1_60.img";"0.75";"1115201.6250"
"../data/60/index_manty_kp_2_60.img";"0.21";"15863285.0000"
"../data/60/index_manty_kp_3_60.img";"0.19";"53542468.0000"
"../data/60/index_manty_kp_4_60.img";"0.27";"34562016.0000"
"../data/60/index_manty_kp_5_60.img";"0.61";"7344669.0000"
"../data/60/index_koivu_kp_1_60.img";"0.91";"2141726.5000"
"../data/60/index_koivu_kp_2_60.img";"0.71";"35470420.0000"
"../data/60/index_koivu_kp_3_60.img";"0.66";"53882684.0000"
"../data/60/index_koivu_kp_4_60.img";"0.74";"9991622.0000"
"../data/60/index_koivu_kp_5_60.img";"0.67";"1073577.0000"
"../data/60/index_kuusi_kp_1_60.img";"0.92";"2126600.2500"
"../data/60/index_kuusi_kp_2_60.img";"0.59";"103665872.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.63";"205198624.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.65";"21324560.0000"
"../data/60/index_kuusi_kp_5_60.img";"0.60";"2329891.7500"
"../data/60/index_mlp_kp_1_60.img";"0.92";"2486900.7500"
"../data/60/index_mlp_kp_2_60.img";"0.67";"18695912.0000"
"../data/60/index_mlp_kp_3_60.img";"0.60";"24078330.0000"
"../data/60/index_mlp_kp_4_60.img";"0.70";"5166958.5000"
"../data/60/index_mlp_kp_5_60.img";"0.64";"667423.4375"
"../data/60/index_manty_kp_1_60.img";"0.89";"1332642.8750"
"../data/60/index_manty_kp_2_60.img";"0.57";"44045104.0000"
"../data/60/index_manty_kp_3_60.img";"0.61";"174127152.0000"
"../data/60/index_manty_kp_4_60.img";"0.77";"97110728.0000"
"../data/60/index_manty_kp_5_60.img";"0.70";"8497013.0000"
"../data/60/mv_wrscr_60.img";"0.95";"12883.7295"
"../data/60/mh_wrscr_60.img";"0.97";"59983.0117"
