"MLVMI_PUULAJI";"IPUULAJI";"PUULAJI";"LAJI";"LuokkaID";"Luokka";"mean";"median";"max";"xmod";"mod_asym";"lscale";"rscale";"xmod_lavdia";"xmod_ravdia";"scaled_lavdia";"scaled_ravdia"
1;9999;10;"Männyt";1;"MANTY";"18.79";19;"49.8";9;"1";"4.71";8;"0.22";"0.18";"10.57";"6.23"
9999;1;11;"Mänty";1;"MANTY";"18.79";19;"49.8";9;"1";"4.71";8;"0.22";"0.18";"10.57";"6.23"
9999;12;12;"Kontortamänty";1;"MANTY";"18.79";19;"49.8";9;"1";"4.71";8;"0.22";"0.18";"10.57";"6.23"
9999;9999;13;"Mänty, kelottunut";1;"MANTY";"18.79";19;"49.8";9;"1";"4.71";8;"0.22";"0.18";"10.57";"6.23"
9999;22;14;"Sembramänty";1;"MANTY";"18.79";19;"49.8";9;"1";"4.71";8;"0.22";"0.18";"10.57";"6.23"
9999;11;9999;"Kataja";2;"KUUSI";"17.14";18;49;8;"0.95";4;6;"0.16";"0.16";"12.25";"8.17"
9999;14;9999;"Lehtikuusi";2;"KUUSI";"17.14";18;49;8;"0.95";4;6;"0.16";"0.16";"12.25";"8.17"
9999;23;9999;"Serbiankuusi";2;"KUUSI";"17.14";18;49;8;"0.95";4;6;"0.16";"0.16";"12.25";"8.17"
9999;9999;20;"Kuuset";2;"KUUSI";"17.14";18;49;8;"0.95";4;6;"0.16";"0.16";"12.25";"8.17"
2;2;21;"Kuusi";2;"KUUSI";"17.14";18;49;8;"0.95";"3.87";6;"0.16";"0.16";"12.25";"8.17"
9999;9999;22;"Kuusi, kelottunut";2;"KUUSI";"17.14";18;49;8;"0.95";"3.87";6;"0.16";"0.16";"12.25";"8.17"
9999;16;23;"Mustakuusi";2;"KUUSI";"17.14";18;49;8;"0.95";"3.87";6;"0.16";"0.16";"12.25";"8.17"
9999;19;24;"Lännenpihta";2;"KUUSI";"17.14";18;49;8;"0.95";"3.87";6;"0.16";"0.16";"12.25";"8.17"
9999;9999;25;"Siperianpihta";2;"KUUSI";"17.14";18;49;8;"0.95";"3.87";6;"0.16";"0.16";"12.25";"8.17"
9999;10;26;"Douglaskuusi";2;"KUUSI";"17.14";18;49;8;"0.95";"3.87";6;"0.16";"0.16";"12.25";"8.17"
9999;8;9999;"Muu havupuu";2;"KUUSI";"17.14";18;49;8;"0.95";"3.87";6;"0.16";"0.16";"12.25";"8.17"
3;9999;30;"Koivut";3;"KOIVU";"15.4";15;45;9;"0.9";"2.96";4;"0.2";"0.21";"15.2";"11.25"
9999;3;31;"Rauduskoivu";3;"KOIVU";"15.4";15;45;9;"0.9";"2.96";4;"0.2";"0.21";"15.2";"11.25"
9999;4;32;"Hieskoivu";3;"KOIVU";"15.4";15;45;9;"0.9";"2.96";4;"0.2";"0.21";"15.2";"11.25"
9999;9999;33;"Tunturikoivu";3;"KOIVU";"15.4";15;45;9;"0.9";"2.96";4;"0.2";"0.21";"15.2";"11.25"
9999;27;34;"Visakoivu";3;"KOIVU";"15.4";15;45;9;"0.9";"2.96";4;"0.2";"0.21";"15.2";"11.25"
9999;5;40;"Haapa";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;9999;50;"Lepät";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;6;51;"Harmaaleppä";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;7;52;"Tervaleppä";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
4;9;60;"Muut lehtipuut";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;20;61;"Raita";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;18;62;"Pihlaja";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;17;63;"Pajut";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;9999;64;"Pähkinäpensas";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;25;65;"Tuomi";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;9999;66;"Oratuomi";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;9999;67;"Muut pihlajat";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;9999;68;"Metsäomenapuu";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;9999;90;"Jalot lehtipuut";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;24;91;"Tammi";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;26;92;"Vaahtera";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;21;93;"Saarni";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;15;94;"Lehmus";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;13;95;"Kynäjalava";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
9999;28;96;"Vuorijalava";4;"MLP";"13.68";13;60;-1;1;4;4;"-0.02";"-0.02";15;15
