"Feature";"Tot_prop";"Sum"
"../data/60/index_koivu_kp_1_60.img";"0.45";"1057851.1250"
"../data/60/index_koivu_kp_2_60.img";"0.08";"4258921.0000"
"../data/60/index_koivu_kp_3_60.img";"0.07";"5355859.0000"
"../data/60/index_koivu_kp_4_60.img";"0.11";"1485955.2500"
"../data/60/index_koivu_kp_5_60.img";"0.15";"237391.9844"
"../data/60/index_kuusi_kp_1_60.img";"0.35";"811786.5000"
"../data/60/index_kuusi_kp_2_60.img";"0.03";"5836251.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.04";"12366254.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.06";"1908670.7500"
"../data/60/index_kuusi_kp_5_60.img";"0.11";"443887.0312"
"../data/60/index_mlp_kp_1_60.img";"0.50";"1353148.1250"
"../data/60/index_mlp_kp_2_60.img";"0.08";"2202595.7500"
"../data/60/index_mlp_kp_3_60.img";"0.06";"2425261.0000"
"../data/60/index_mlp_kp_4_60.img";"0.11";"806928.4375"
"../data/60/index_mlp_kp_5_60.img";"0.14";"151049.3281"
"../data/60/index_manty_kp_1_60.img";"0.38";"570011.0000"
"../data/60/index_manty_kp_2_60.img";"0.04";"3405298.5000"
"../data/60/index_manty_kp_3_60.img";"0.05";"13974560.0000"
"../data/60/index_manty_kp_4_60.img";"0.11";"14297480.0000"
"../data/60/index_manty_kp_5_60.img";"0.16";"1932055.2500"
